Zeit [ms]	Zahlenwert	METEX-Wert	Zeit[min]	T'[K]
946752	-6.6	DC-006.60  mV	15.7792	-0.74838
948764	-6.57	DC-006.57  mV	15.81273333	-0.739941
950776	-6.55	DC-006.55  mV	15.84626667	-0.734315
952789	-6.52	DC-006.52  mV	15.87981667	-0.725876
954801	-6.5	DC-006.50  mV	15.91335	-0.72025
956814	-6.54	DC-006.54  mV	15.9469	-0.731502
958826	-6.6	DC-006.60  mV	15.98043333	-0.74838
960838	-6.51	DC-006.51  mV	16.01396667	-0.723063
962851	-6.51	DC-006.51  mV	16.04751667	-0.723063
964863	-6.55	DC-006.55  mV	16.08105	-0.734315
966876	-6.46	DC-006.46  mV	16.1146	-0.708998
968888	-6.49	DC-006.49  mV	16.14813333	-0.717437
970885	-6.51	DC-006.51  mV	16.18141667	-0.723063
972913	-6.53	DC-006.53  mV	16.21521667	-0.728689
974925	-6.45	DC-006.45  mV	16.24875	-0.706185
976938	-6.41	DC-006.41  mV	16.2823	-0.694933
978950	-6.5	DC-006.50  mV	16.31583333	-0.72025
980962	-6.37	DC-006.37  mV	16.34936667	-0.683681
982975	-6.29	DC-006.29  mV	16.38291667	-0.661177
984972	-6.26	DC-006.26  mV	16.4162	-0.652738
987000	-6.22	DC-006.22  mV	16.45	-0.641486
989012	-6.09	DC-006.09  mV	16.48353333	-0.604917
991009	-5.95	DC-005.95  mV	16.51681667	-0.565535
993037	-5.88	DC-005.88  mV	16.55061667	-0.545844
995049	-5.72	DC-005.72  mV	16.58415	-0.500836
997062	-5.44	DC-005.44  mV	16.6177	-0.422072
999074	-5.3	DC-005.30  mV	16.65123333	-0.38269
1001086	-5.28	DC-005.28  mV	16.68476667	-0.377064
1003114	-4.97	DC-004.97  mV	16.71856667	-0.289861
1005096	-4.94	DC-004.94  mV	16.7516	-0.281422
1007124	-4.85	DC-004.85  mV	16.7854	-0.256105
1009136	-4.57	DC-004.57  mV	16.81893333	-0.177341
1011133	-4.38	DC-004.38  mV	16.85221667	-0.123894
1013161	-4.6	DC-004.60  mV	16.88601667	-0.18578
1015189	-4.13	DC-004.13  mV	16.91981667	-0.053569
1017170	-4.1	DC-004.10  mV	16.95283333	-0.04513
1019198	-3.89	DC-003.89  mV	16.98663333	0.013943
1021210	-3.77	DC-003.77  mV	17.02016667	0.047699
1023223	-3.48	DC-003.48  mV	17.05371667	0.129276
1025220	-3.38	DC-003.38  mV	17.087	0.157406
1027248	-3.06	DC-003.06  mV	17.1208	0.247422
1029260	-2.99	DC-002.99  mV	17.15433333	0.267113
1031272	-3.03	DC-003.03  mV	17.18786667	0.255861
1033285	-2.75	DC-002.75  mV	17.22141667	0.334625
1035297	-2.6	DC-002.60  mV	17.25495	0.37682
1037310	-2.53	DC-002.53  mV	17.2885	0.396511
1039322	-2.49	DC-002.49  mV	17.32203333	0.407763
1041334	-2.4	DC-002.40  mV	17.35556667	0.43308
1043347	-2.14	DC-002.14  mV	17.38911667	0.506218
1045359	-2.09	DC-002.09  mV	17.42265	0.520283
1047356	-1.88	DC-001.88  mV	17.45593333	0.579356
1049384	-1.78	DC-001.78  mV	17.48973333	0.607486
1051396	-1.65	DC-001.65  mV	17.52326667	0.644055
1053393	-1.55	DC-001.55  mV	17.55655	0.672185
1055421	-1.29	DC-001.29  mV	17.59035	0.745323
1057434	-1.2	DC-001.20  mV	17.6239	0.77064
1059446	-1.05	DC-001.05  mV	17.65743333	0.812835
1061443	-0.75	DC-000.75  mV	17.69071667	0.897225
1063471	-0.67	DC-000.67  mV	17.72451667	0.919729
1065483	-0.35	DC-000.35  mV	17.75805	1.009745
1067480	-0.42	DC-000.42  mV	17.79133333	0.990054
1069508	-0.32	DC-000.32  mV	17.82513333	1.018184
1071520	-0.21	DC-000.21  mV	17.85866667	1.049127
1073533	0.08	DC 000.08  mV	17.89221667	1.130704
1075545	0.17	DC 000.17  mV	17.92575	1.156021
1077558	0.37	DC 000.37  mV	17.9593	1.212281
1079570	0.54	DC 000.54  mV	17.99283333	1.260102
1081567	0.6	DC 000.60  mV	18.02611667	1.27698
1083595	0.62	DC 000.62  mV	18.05991667	1.282606
1085607	0.55	DC 000.55  mV	18.09345	1.262915
1087620	0.76	DC 000.76  mV	18.127	1.321988
1089632	0.73	DC 000.73  mV	18.16053333	1.313549
1091644	0.73	DC 000.73  mV	18.19406667	1.313549
1093657	0.77	DC 000.77  mV	18.22761667	1.324801
1095654	0.7	DC 000.70  mV	18.2609	1.30511
1097682	0.69	DC 000.69  mV	18.2947	1.302297
1099694	0.72	DC 000.72  mV	18.32823333	1.310736
1101691	0.76	DC 000.76  mV	18.36151667	1.321988
1103719	0.78	DC 000.78  mV	18.39531667	1.327614
1105731	0.77	DC 000.77  mV	18.42885	1.324801
1107744	0.77	DC 000.77  mV	18.4624	1.324801
1109756	0.74	DC 000.74  mV	18.49593333	1.316362
1111768	0.75	DC 000.75  mV	18.52946667	1.319175
1113781	0.69	DC 000.69  mV	18.56301667	1.302297
1115793	0.69	DC 000.69  mV	18.59655	1.302297
1117806	0.77	DC 000.77  mV	18.6301	1.324801
1119818	0.76	DC 000.76  mV	18.66363333	1.321988
1121830	0.73	DC 000.73  mV	18.69716667	1.313549
1123827	0.75	DC 000.75  mV	18.73045	1.319175
1125855	0.77	DC 000.77  mV	18.76425	1.324801
1127868	0.77	DC 000.77  mV	18.7978	1.324801
1129864	0.78	DC 000.78  mV	18.83106667	1.327614
1131892	0.78	DC 000.78  mV	18.86486667	1.327614
1133905	0.74	DC 000.74  mV	18.89841667	1.316362
1135917	0.76	DC 000.76  mV	18.93195	1.321988
1137930	0.78	DC 000.78  mV	18.9655	1.327614
1139942	0.75	DC 000.75  mV	18.99903333	1.319175
1141954	0.76	DC 000.76  mV	19.03256667	1.321988
1143951	0.73	DC 000.73  mV	19.06585	1.313549
1145979	0.72	DC 000.72  mV	19.09965	1.310736
1147992	0.74	DC 000.74  mV	19.1332	1.316362
1150004	0.7	DC 000.70  mV	19.16673333	1.30511
1152016	0.73	DC 000.73  mV	19.20026667	1.313549
1154029	0.7	DC 000.70  mV	19.23381667	1.30511
1156041	0.74	DC 000.74  mV	19.26735	1.316362
1158038	0.77	DC 000.77  mV	19.30063333	1.324801
1160066	0.77	DC 000.77  mV	19.33443333	1.324801
1162078	0.66	DC 000.66  mV	19.36796667	1.293858
1164091	0.72	DC 000.72  mV	19.40151667	1.310736
1166103	0.64	DC 000.64  mV	19.43505	1.288232
1168116	0.68	DC 000.68  mV	19.4686	1.299484
1170128	0.74	DC 000.74  mV	19.50213333	1.316362
1172125	0.7	DC 000.70  mV	19.53541667	1.30511
1174153	0.73	DC 000.73  mV	19.56921667	1.313549
1176165	0.78	DC 000.78  mV	19.60275	1.327614
1178162	0.72	DC 000.72  mV	19.63603333	1.310736
1180190	0.73	DC 000.73  mV	19.66983333	1.313549
1182202	0.76	DC 000.76  mV	19.70336667	1.321988
1184199	0.73	DC 000.73  mV	19.73665	1.313549
1186227	0.78	DC 000.78  mV	19.77045	1.327614
1188240	0.77	DC 000.77  mV	19.804	1.324801
1190252	0.77	DC 000.77  mV	19.83753333	1.324801
1192249	0.7	DC 000.70  mV	19.87081667	1.30511
1194277	0.71	DC 000.71  mV	19.90461667	1.307923
1196289	0.78	DC 000.78  mV	19.93815	1.327614
1198317	0.78	DC 000.78  mV	19.97195	1.327614
1200314	0.8	DC 000.80  mV	20.00523333	1.33324
1202326	0.79	DC 000.79  mV	20.03876667	1.330427
1204339	0.8	DC 000.80  mV	20.07231667	1.33324
1206351	0.81	DC 000.81  mV	20.10585	1.336053
1208364	0.72	DC 000.72  mV	20.1394	1.310736
1210376	0.76	DC 000.76  mV	20.17293333	1.321988
1212388	0.81	DC 000.81  mV	20.20646667	1.336053
1214401	0.78	DC 000.78  mV	20.24001667	1.327614
1216413	0.8	DC 000.80  mV	20.27355	1.33324
1218426	0.8	DC 000.80  mV	20.3071	1.33324
1220422	0.8	DC 000.80  mV	20.34036667	1.33324
1222450	0.87	DC 000.87  mV	20.37416667	1.352931
1224463	0.82	DC 000.82  mV	20.40771667	1.338866
1226475	0.82	DC 000.82  mV	20.44125	1.338866
1228488	0.76	DC 000.76  mV	20.4748	1.321988
1230500	0.87	DC 000.87  mV	20.50833333	1.352931
1232512	0.83	DC 000.83  mV	20.54186667	1.341679
1234525	0.83	DC 000.83  mV	20.57541667	1.341679
1236537	0.86	DC 000.86  mV	20.60895	1.350118
1238550	0.9	DC 000.90  mV	20.6425	1.36137
1240562	0.89	DC 000.89  mV	20.67603333	1.358557
1242574	0.88	DC 000.88  mV	20.70956667	1.355744
1244587	0.86	DC 000.86  mV	20.74311667	1.350118
1246599	0.85	DC 000.85  mV	20.77665	1.347305
1248596	0.87	DC 000.87  mV	20.80993333	1.352931
1250624	0.88	DC 000.88  mV	20.84373333	1.355744
1252636	0.89	DC 000.89  mV	20.87726667	1.358557
1254633	0.89	DC 000.89  mV	20.91055	1.358557
1256661	0.84	DC 000.84  mV	20.94435	1.344492
1258674	0.89	DC 000.89  mV	20.9779	1.358557
1260686	0.9	DC 000.90  mV	21.01143333	1.36137
1262698	0.9	DC 000.90  mV	21.04496667	1.36137
1264711	0.82	DC 000.82  mV	21.07851667	1.338866
1266723	0.88	DC 000.88  mV	21.11205	1.355744
1268720	0.85	DC 000.85  mV	21.14533333	1.347305
1270748	0.91	DC 000.91  mV	21.17913333	1.364183
1272760	0.88	DC 000.88  mV	21.21266667	1.355744
1274773	0.89	DC 000.89  mV	21.24621667	1.358557
1276785	0.9	DC 000.90  mV	21.27975	1.36137
1278798	0.88	DC 000.88  mV	21.3133	1.355744
1280810	0.96	DC 000.96  mV	21.34683333	1.378248
1282807	0.88	DC 000.88  mV	21.38011667	1.355744
1284835	0.87	DC 000.87  mV	21.41391667	1.352931
1286847	0.87	DC 000.87  mV	21.44745	1.352931
1288860	0.9	DC 000.90  mV	21.481	1.36137
1290872	0.9	DC 000.90  mV	21.51453333	1.36137
1292884	0.89	DC 000.89  mV	21.54806667	1.358557
1294897	0.94	DC 000.94  mV	21.58161667	1.372622
1296894	0.92	DC 000.92  mV	21.6149	1.366996
1298922	0.9	DC 000.90  mV	21.6487	1.36137
1300934	0.88	DC 000.88  mV	21.68223333	1.355744
1302946	0.92	DC 000.92  mV	21.71576667	1.366996
1304959	0.9	DC 000.90  mV	21.74931667	1.36137
1306971	0.9	DC 000.90  mV	21.78285	1.36137
1308984	0.86	DC 000.86  mV	21.8164	1.350118
1310980	0.93	DC 000.93  mV	21.84966667	1.369809
1313008	0.93	DC 000.93  mV	21.88346667	1.369809
1315021	0.94	DC 000.94  mV	21.91701667	1.372622
1317033	0.9	DC 000.90  mV	21.95055	1.36137
1319034	0.9	DC 000.90  mV	21.9839	1.36137
1321046	0.95	DC 000.95  mV	22.01743333	1.375435
1323058	0.97	DC 000.97  mV	22.05096667	1.381061
1325055	0.93	DC 000.93  mV	22.08425	1.369809
1327083	0.89	DC 000.89  mV	22.11805	1.358557
1329096	0.94	DC 000.94  mV	22.1516	1.372622
1331108	0.92	DC 000.92  mV	22.18513333	1.366996
1333120	0.93	DC 000.93  mV	22.21866667	1.369809
1335133	0.85	DC 000.85  mV	22.25221667	1.347305
1337145	0.88	DC 000.88  mV	22.28575	1.355744
1339142	0.91	DC 000.91  mV	22.31903333	1.364183
1341170	0.91	DC 000.91  mV	22.35283333	1.364183
1343182	0.92	DC 000.92  mV	22.38636667	1.366996
1345179	0.89	DC 000.89  mV	22.41965	1.358557
1347207	0.93	DC 000.93  mV	22.45345	1.369809
1349251	0.96	DC 000.96  mV	22.48751667	1.378248
1351419	1	DC 001.00  mV	22.52365	1.3895
1353400	0.97	DC 000.97  mV	22.55666667	1.381061
1355413	0.96	DC 000.96  mV	22.59021667	1.378248
1357425	0.97	DC 000.97  mV	22.62375	1.381061
1359422	0.96	DC 000.96  mV	22.65703333	1.378248
1361450	0.93	DC 000.93  mV	22.69083333	1.369809
1363462	0.93	DC 000.93  mV	22.72436667	1.369809
1365459	0.96	DC 000.96  mV	22.75765	1.378248
1367487	0.93	DC 000.93  mV	22.79145	1.369809
1369500	0.96	DC 000.96  mV	22.825	1.378248
1371512	1.01	DC 001.01  mV	22.85853333	1.392313
1373524	0.95	DC 000.95  mV	22.89206667	1.375435
1375537	0.99	DC 000.99  mV	22.92561667	1.386687
1377549	0.94	DC 000.94  mV	22.95915	1.372622
1379562	0.94	DC 000.94  mV	22.9927	1.372622
1381574	0.98	DC 000.98  mV	23.02623333	1.383874
1383586	1.01	DC 001.01  mV	23.05976667	1.392313
1385599	0.98	DC 000.98  mV	23.09331667	1.383874
1387596	0.99	DC 000.99  mV	23.1266	1.386687
1389624	0.98	DC 000.98  mV	23.1604	1.383874
1391636	1.02	DC 001.02  mV	23.19393333	1.395126
1393648	1.05	DC 001.05  mV	23.22746667	1.403565
1395661	1.06	DC 001.06  mV	23.26101667	1.406378
1397673	1.1	DC 001.10  mV	23.29455	1.41763
1399686	1.09	DC 001.09  mV	23.3281	1.414817
1401698	1.1	DC 001.10  mV	23.36163333	1.41763
1403710	1.08	DC 001.08  mV	23.39516667	1.412004
1405723	1.11	DC 001.11  mV	23.42871667	1.420443
1407735	1.11	DC 001.11  mV	23.46225	1.420443
1409748	1.18	DC 001.18  mV	23.4958	1.440134
1411760	1.12	DC 001.12  mV	23.52933333	1.423256
1413772	1.08	DC 001.08  mV	23.56286667	1.412004
1415769	1.12	DC 001.12  mV	23.59615	1.423256
1417797	1.13	DC 001.13  mV	23.62995	1.426069
1419810	1.15	DC 001.15  mV	23.6635	1.431695
1421806	1.11	DC 001.11  mV	23.69676667	1.420443
1424022	1.15	DC 001.15  mV	23.7337	1.431695
1426034	1.19	DC 001.19  mV	23.76723333	1.442947
1428046	1.17	DC 001.17  mV	23.80076667	1.437321
1430059	1.21	DC 001.21  mV	23.83431667	1.448573
1432071	1.22	DC 001.22  mV	23.86785	1.451386
1434084	1.22	DC 001.22  mV	23.9014	1.451386
1436236	1.21	DC 001.21  mV	23.93726667	1.448573
1438233	1.24	DC 001.24  mV	23.97055	1.457012
1440246	1.29	DC 001.29  mV	24.0041	1.471077
1442258	1.21	DC 001.21  mV	24.03763333	1.448573
1444270	1.18	DC 001.18  mV	24.07116667	1.440134
1446298	1.21	DC 001.21  mV	24.10496667	1.448573
1448295	1.24	DC 001.24  mV	24.13825	1.457012
1450308	1.25	DC 001.25  mV	24.1718	1.459825
1452320	1.19	DC 001.19  mV	24.20533333	1.442947
1454332	1.26	DC 001.26  mV	24.23886667	1.462638
1456329	1.25	DC 001.25  mV	24.27215	1.459825
1458513	1.26	DC 001.26  mV	24.30855	1.462638
1460385	1.19	DC 001.19  mV	24.33975	1.442947
1462382	1.17	DC 001.17  mV	24.37303333	1.437321
1464394	1.25	DC 001.25  mV	24.40656667	1.459825
1466407	1.28	DC 001.28  mV	24.44011667	1.468264
1468419	1.24	DC 001.24  mV	24.47365	1.457012
1470432	1.27	DC 001.27  mV	24.5072	1.465451
1472444	1.28	DC 001.28  mV	24.54073333	1.468264
1474456	1.23	DC 001.23  mV	24.57426667	1.454199
1476469	1.32	DC 001.32  mV	24.60781667	1.479516
1478481	1.25	DC 001.25  mV	24.64135	1.459825
1480494	1.32	DC 001.32  mV	24.6749	1.479516
1482506	1.32	DC 001.32  mV	24.70843333	1.479516
1484503	1.29	DC 001.29  mV	24.74171667	1.471077
1486531	1.23	DC 001.23  mV	24.77551667	1.454199
1488543	1.31	DC 001.31  mV	24.80905	1.476703
1490556	1.33	DC 001.33  mV	24.8426	1.482329
1492552	1.33	DC 001.33  mV	24.87586667	1.482329
1494580	1.3	DC 001.30  mV	24.90966667	1.47389
1496593	1.25	DC 001.25  mV	24.94321667	1.459825
1498605	1.3	DC 001.30  mV	24.97675	1.47389
1500618	1.35	DC 001.35  mV	25.0103	1.487955
1502630	1.34	DC 001.34  mV	25.04383333	1.485142
1504642	1.31	DC 001.31  mV	25.07736667	1.476703
1506655	1.27	DC 001.27  mV	25.11091667	1.465451
1508667	1.27	DC 001.27  mV	25.14445	1.465451
1510680	1.28	DC 001.28  mV	25.178	1.468264
1512676	1.33	DC 001.33  mV	25.21126667	1.482329
1514704	1.31	DC 001.31  mV	25.24506667	1.476703
1516717	1.25	DC 001.25  mV	25.27861667	1.459825
1518729	1.26	DC 001.26  mV	25.31215	1.462638
1520742	1.31	DC 001.31  mV	25.3457	1.476703
1522754	1.33	DC 001.33  mV	25.37923333	1.482329
1524766	1.41	DC 001.41  mV	25.41276667	1.504833
1526763	1.33	DC 001.33  mV	25.44605	1.482329
1528791	1.35	DC 001.35  mV	25.47985	1.487955
1530804	1.34	DC 001.34  mV	25.5134	1.485142
1532800	1.32	DC 001.32  mV	25.54666667	1.479516
1534828	1.34	DC 001.34  mV	25.58046667	1.485142
1536841	1.33	DC 001.33  mV	25.61401667	1.482329
1538853	1.33	DC 001.33  mV	25.64755	1.482329
1540866	1.34	DC 001.34  mV	25.6811	1.485142
1542878	1.37	DC 001.37  mV	25.71463333	1.493581
1544890	1.42	DC 001.42  mV	25.74816667	1.507646
1546887	1.41	DC 001.41  mV	25.78145	1.504833
1548915	1.43	DC 001.43  mV	25.81525	1.510459
1550928	1.4	DC 001.40  mV	25.8488	1.50202
1552940	1.43	DC 001.43  mV	25.88233333	1.510459
1554952	1.37	DC 001.37  mV	25.91586667	1.493581
1556965	1.33	DC 001.33  mV	25.94941667	1.482329
1558977	1.36	DC 001.36  mV	25.98295	1.490768
1560974	1.37	DC 001.37  mV	26.01623333	1.493581
1563002	1.34	DC 001.34  mV	26.05003333	1.485142
1565014	1.32	DC 001.32  mV	26.08356667	1.479516
1567027	1.36	DC 001.36  mV	26.11711667	1.490768
1569039	1.39	DC 001.39  mV	26.15065	1.499207
1571052	1.41	DC 001.41  mV	26.1842	1.504833
1573064	1.45	DC 001.45  mV	26.21773333	1.516085
1575061	1.36	DC 001.36  mV	26.25101667	1.490768
1577089	1.38	DC 001.38  mV	26.28481667	1.496394
1579101	1.39	DC 001.39  mV	26.31835	1.499207
1581114	1.44	DC 001.44  mV	26.3519	1.513272
1583126	1.45	DC 001.45  mV	26.38543333	1.516085
1585138	1.41	DC 001.41  mV	26.41896667	1.504833
1587151	1.48	DC 001.48  mV	26.45251667	1.524524
1589163	1.44	DC 001.44  mV	26.48605	1.513272
1591176	1.47	DC 001.47  mV	26.5196	1.521711
1593188	1.47	DC 001.47  mV	26.55313333	1.521711
1595200	1.49	DC 001.49  mV	26.58666667	1.527337
1597213	1.48	DC 001.48  mV	26.62021667	1.524524
1599225	1.44	DC 001.44  mV	26.65375	1.513272
1601238	1.48	DC 001.48  mV	26.6873	1.524524
